Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2015,NL,Eindhoven,251.36,89.58,333.75,479.61,569.77,427.87,109.35,150.1,452.75,323.04
2015,NL,Utrecht,184.51,108.95,192.23,255.14,87.07,57.66,151.16,148.21,148.03,148.1
2015,PT,Almada,58.59,57.42,48.48,64.18,73.88,87.09,55.49,54.83,70.16,63.59
2015,PT,Lisbon,231.34,257.38,278.23,308.16,299.3,250.53,225.36,238.03,284.06,264.33
2015,PT,Porto,111.2,83.99,103.26,80.21,56.87,124.67,86.76,93.98,91.25,92.42
2015,SK,Piestany,04.03,3.78,3.92,8.53,11.02,08.01,3.79,3.87,7.87,6.15
2016,AT,Innsbruck,140.33,131.03,177.57,236.55,205.33,131.01,111.9,127.75,187.62,161.96
2016,BE,Antwerp Deurne,406.43,344.42,394.53,448.28,490.93,410.25,372.49,374.45,436,409.62
2016,BE,Antwerp Zuid,776.91,670.11,808.53,1040.18,1406.51,912.82,788.49,745.17,1042.01,914.79
2016,BE,Brussels,319.82,376.04,392.35,491.75,516.18,453.48,368.19,354.68,463.44,416.83
2016,BE,Koksijde,55.38,34.11,61.97,71.18,195.11,66.64,55.22,48.23,98.73,77.09
2016,BE,Oostende,74.7,72.53,83.02,114.53,171.48,93.49,76.26,74.5,115.63,98
2016,CH,Basel,366.85,404.11,425.36,557.91,520.9,399,372.08,381.01,475.79,435.17
2016,CH,Berne,286.07,284.61,305.19,401.14,357.78,317.61,327.55,299.41,345.43,325.71
2016,CH,Geneva,407.72,424.78,515.08,591.17,551.07,,418.4,416.97,552.44,484.7
2016,CH,Lugano,346.73,392.78,363.3,496.21,421.19,316.96,330.41,356.64,399.41,381.08
2016,CH,Zurich,597.97,651.59,707.83,904.13,953.55,661.75,580.89,610.15,806.81,722.53
2016,CY,Limassol,113.11,118.4,172.99,147.89,166.13,175.15,180.56,137.36,165.54,153.46
2016,CZ,České Budějovice,4.73,2.4,03.08,5.58,9.93,10.36,11.76,6.3,7.24,6.83
2016,DE,Dortmund,487.4,538.96,465.1,504.23,450.16,227.3,272.01,432.79,411.7,420.74
2016,DE,Dresden,14.26,14.57,17.08,23.95,21.44,15.91,16.68,15.17,19.6,17.7
2016,DE,Dülmen,47.47,82.31,92.06,113.78,109,85.01,58.81,62.87,99.96,84.07
2016,DE,Munich G,94.37,103.65,161.12,137.1,107.43,106.79,86.07,94.7,128.11,113.79
2016,ES,Barcelona,604.16,588.15,666.25,930.6,926.77,642.26,535.54,575.95,791.47,699.1
2016,ES,Castellon,287.58,325.69,477.35,479.04,422.04,241.79,319.24,310.83,405.05,364.67
2016,ES,Molina de Segura,320.96,402.52,426.09,658.1,654.13,510.41,597.37,440.28,562.18,509.94
2016,ES,Santiago,105.78,147.47,144.28,179.5,184.87,154.49,82.35,111.86,165.78,142.68
2016,ES,Valencia (3),201.35,203.83,274.95,419.1,431.28,209.94,90.94,165.37,333.82,261.63
2016,FI,Espoo,5.49,6.35,6.76,15,21.41,11.05,7.41,6.42,13.56,10.5
2016,FI,Helsinki,12.64,13.15,14.81,24.72,25.63,16.27,10,11.93,20.36,16.75
2016,FI,Joensuu,1.76,0.59,0.56,1.27,01.04,0.56,0.49,0.95,0.86,0.9
2016,FI,Jyväskylä,0,0,0,0,0,0,0,0,0,0
2016,FI,Kotka,1.32,1.6,1.65,3.98,5.77,05.03,2.98,1.97,4.11,3.19
2016,FI,Kuopio,1.53,0.53,0.51,01.09,2.44,1.36,0.51,0.86,1.35,1.14
2016,FI,Lahti,12.9,29.27,10.06,4.15,6.44,3.98,2.7,14.95,6.16,9.93
2016,FI,Lappeenranta,0,0,0,0,0,0,0,0,0,0
2016,FI,Oulu,0,0,0,0,0,0,0,0,0,0
